Query,Semantic_Result,Semantic_Score,BM25_Result,BM25_Score,Semantic_Relevant,BM25_Relevant
high ceilings and natural light,"built in 2013, this beautifully maintained detached pud offers 4 bedrooms, 4 bathrooms and paid off solar panels, plus an office that can easily serve as a 5 th bedroom. the modern kitchen features sleek cabinetry, generous counter space, and quality newer appliances. the bright, high-ceiling living room is highlighted by a striking custom 38-bulb led chandelier with multiple color settings, creating an inviting atmosphere. on the first floor, youll find two spacious bedrooms, including a junior suite, along with a versatile office conveniently located next to a full hallway bathideal for guests or multi-generational living. upstairs, a large loft provides a cozy relaxation area, accompanied by two additional suites, including the primary suite. additional highlights include a 3-car garage, 4 private parking spaces, and dual tankless water heaters and a c units and gabrielino high school! this large pud with no hoa combining modern comfort, efficiency, and an unbeatable location is truly a rare find!",0.45790946,"located in the highly desirable lexington community at central park west, 2202 rivington offers a refined one-bedroom condominium designed for comfort, functionality, and modern living. the residence is thoughtfully positioned away from street noise and features a spacious private terrace, ideal for relaxing, entertaining, or enjoying southern californias indoor-outdoor lifestyle. inside, high ceilings and abundant natural light enhance the open layout, creating an airy and welcoming atmosphere throughout. the primary suite includes a generously sized bedroom, a walk-in closet, and a well-appointed bathroom featuring both a soaking tub and a separate walk-in shower. a convenient powder room is available for guests. residents of central park west enjoy access to a wide range of resort-style amenities, including pools, spas, fitness centers, barbecue areas, sports courts, a dog park, and a clubhouse. ideally located near fine dining, shopping, scenic trails, world-class beaches, john wayne airport, and uc irvine, this home offers exceptional convenience and lifestyle appeal. an excellent opportunity to experience modern irvine living in one of the citys most sought-after communities.",10.17909877,0,1
walkable to shops and restaurants,"welcome to this spacious 4-bedroom, 2.5-bathroom home nestled in the charming city of hollister. with 2766 square feet of living space, this home offers a comfortable setting for family life and entertaining. the kitchen is a chef's delight, featuring granite countertops, a gas cooktop, an island with a sink, a built-in pantry, and modern appliances, including a dishwasher and microwave. the home boasts a blend of carpet, laminate, and tile flooring, adding variety and functionality to each space. enjoy cozy evenings in the kitchen family room combination. the primary bedroom on the ground floor includes a walk-in closet for ample storage and central air conditioning with multi-zone control for optimal comfort. the property includes a pool spa combo with a cover and heating options, perfect for year-round enjoyment. the laundry is conveniently located inside with gas hookups, and there's an attached 3-car garage. sustainable energy features include solar power and double-pane windows.",0.43610436,"just listed stunning hesperia home property, this property is located in a desirable neighborhood for families and commuters. property consist of 4 bed,3 bath, 1 full acre of land, solar panels, rv access, 2 car garage plenty of back yard space, laundry room master bedroom stainless steel appliances. home was built in 2022, with open floor plan, quartz counter tops, you can also bring your horse animals ect property is located very near to hesperia shops shopping centers restaurants home improvement stores transportation victor valley community college and much more. this is just a must see home. make it yours today.",13.78551057,1,0
good school district,"excellent opportunity to own a single-story townhouse in pleasanton! this updated and meticulously maintained home is move-in ready, offering a bright, open floor plan with an updated kitchen that flows into the dining and living areas. enjoy the comfort of no upstairs neighbors, a private backyard, and a desirable end-unit location that lives like a single-family home. fairlands elementary is within walking distance, with top-rated foothill or amador high schools. conveniently located near freeways, bart, shopping, dining, and historic downtown pleasanton. a great opportunity for first-time buyers or investorsdont miss it!",0.48508418,"move in ready !this desirable and well-maintained end unit townhome with 3-bedroom, 2-bath offers 1008 square feet of single-level living in a quiet, established community. as an end unit, it features added privacy, with kitchen and primary bedroom windows facing the walking trail. recent upgrades include double-pane windows and a new sliding glass door. all major appliancesincluding washer, dryer, refrigerator, gas stove, and dishwasherare less than 2 years old and included in the sale. enjoy two enclosed patiosperfect for relaxing or entertaining. located in a good school district near the clayton border and just minutes from newhall park, shopping, dining, and downtown walnut creek.",13.1388733,0,1
affordable housing near university,"welcome to this charming second-level end-unit condo offering privacy, comfort, and convenience near uc riverside. this bright and inviting home features an open-concept layout with abundant natural light throughout, creating a warm and airy atmosphere. the living area flows seamlessly into the dining and kitchen spaces, perfect for both relaxing and entertaining. enjoy the blend of laminate flooring in main areas and brand-new carpet in the bedrooms, adding a fresh and modern touch. with only one shared wall, this unit provides extra peace and quiet. additional features and amenities included community pool, 2 parking space, one covered and open space. this gated community condo is located just minutes from uc riverside, shopping, dining, and freeway access, this home is ideal for students, professionals, or anyone seeking low-maintenance living in a prime location.",0.4403432,"contemporary design meets investment potentialwelcome to this stunning 2022-built residence in university park, palm desert's premier master-planned community. this meticulously maintained home showcases the perfect blend of modern architecture, custom finishes, and a game-changing attached adu that transforms your investment while enhancing your lifestyle. dual living spaces, endless possibilitiesthe attached adu with separate entrance delivers proven rental income--college of the desert students have paid $1500 month, creating a smart mortgage offset. use it as guest accommodations, multigenerational living space, creative studio, or continue the rental success. this versatile design adds both functionality and financial advantage. custom elegance & mountain vistasfresh custom paint throughout elevates the home's contemporary aesthetic. an expansive open floor plan with dramatic high ceilings creates a bright, welcoming atmosphere complemented by stunning mountain views. the gourmet kitchen impresses with premium quartz countertops, stainless appliances, gas cooktop, double oven, and abundant storage--a true entertainer's dream. the builder's premium landscaping package transforms the backyard into your private desert oasis, perfect for outdoor dining and relaxation under the desert sky. university park's crown jewel is the grove--an exclusive 3.36-acre resort-style recreational center featuring dual pools and spas, modern fitness facilities, pickleball and bocce courts, clubhouse with gathering spaces, bbq areas, fire pits, community gardens, three neighborhood parks, dog park, and meandering walking trails. this is resort living without resort fees. smart location, smarter investmentideally situated near major universities including cal state san bernardino, uc riverside palm desert, and college of the desert. minutes to shopping, restaurants, the upcoming regional sports complex, and i-10 freeway access for effortless valley-wide connectivity. university park's low hoa delivers exceptional value--accessing premium amenities while keeping monthly expenses remarkably low. turnkey & ready to performthis like-new home is immaculately maintained and move-in ready. from custom paint to mountain views to income-producing adu, every element is designed for modern desert living with financial benefits. welcome to university park--where contemporary style, community amenities, and investment opportunity create your ideal palm desert home.",8.316271397,1,0
luxury penthouse suite,"welcome to penthouse 4 a one-of-a-kind trophy residence that redefines elevated living. meticulously reimagined with the most exquisite finishes available, this architectural masterpiece offers a level of luxury rarely seen and never to be duplicated. step inside your private elevator and ascend to a world of sophistication. the moment you enter, youre greeted by soaring ceilings, radiant quartzite flooring, and an expansive open-concept living and dining space, all framed by breathtaking, unobstructed views stretching over san diego and beyond. watch the planes land at san diego international as if floating in a dream its a view youll never tire of. no detail has been overlooked. from the custom la cornue range to the floating glass staircase and dual-level private elevator system, every feature has been designed with intent, craftsmanship, and absolute opulence. the main level offers a sleek guest suite and full bathroom, ideal for guests or a home office. ascend to the second floor to find two stunning ensuite bedrooms adorned with bespoke cabinetry and rich marble details. the crown jewel of the home is the primary suite a sanctuary in the sky featuring jaw-dropping panoramic views, couture-level finishes, and a boutique-worthy walk-in closet that will take your breath away. perfectly positioned overlooking balboa park and just minutes from san diegos top restaurants, cultural destinations, and the airport, penthouse 4 offers not only luxury, but lifestyle seamlessly connected, yet peacefully above it all. this is not just a home. this is an experience.",0.6192579,"experience the pinnacle of luxury living at encore brentwood's penthouse, a 3-bedroom, 3.5-bathroom residence spanning 2195 square feet that feels like a single-family home. perched on the top floor, this southeast-facing penthouse residences are designed for those who crave space, sleek hardwood floors throughout an open concept living area with accordion doors leading out to a spacious balcony. the designer kitchen is outfitted with subzero and wolf appliances, kitchen island and wine refrigerator blending beauty and functionality to perfection. the primary suite is a tranquil retreat with a walk-in closet elevated by custom german closets and a spa-inspired primary bathroom with a double-vanity and sizable shower. this penthouse residence includes a private elevator to your very own private rooftop terrace with 360 degree panoramic city and ocean views. encore brentwood elevates everyday living with resort-style amenities, including 24 7 front desk security, fitness center with lush views, yoga room, pool, spa, pool-side cabanas, outdoor fire pit, putting green, and a community garden. additional features like a screening room, conference room, and rose garden provide tranquil spaces to retreat or work. located just a short stroll from san vicente boulevard, this penthouse offers effortless access to brentwood's best dining, shopping, and cultural landmarks, blending brentwood sophistication with tranquil luxury.",9.835476444,1,1
suburban home with pool,"pool home! huge price drop! selles say, get it sold! newly listed and unmatched at this price point and condition. welcome to 14235 judy ann drive, located in the highly desirable canyon ridge hills area of woodcrest! this stunning single story pool home offers the perfect blend of privacy, comfort, and style in a quiet, nature-filled setting away from traffic and city noise. featuring 3 bedrooms and 2 bathrooms, this beautifully updated home showcases breathtaking mountain and city views. the remodeled kitchen boasts beautiful cabinetry, elegant quartz countertops, a stylish subway tile backsplash, and a spacious farmhouse sink, perfect for any chef. recent upgrades include fresh interior and exterior paint, new bathroom vanities, newer air conditioner, newer roof, air conditioning, dual pane windows, and newer updated flooring with modern finishes throughout. the inviting living room features a charming brick fireplace, perfect for cozy evenings, while the dining area flows seamlessly into the kitchen and living space enhanced by designer light fixtures. the primary suite offers a generous layout with an updated bathroom vanity, backyard and pool access. step outside to your private backyard oasis with a sparkling pool, alumawood patio, and lush new landscaping with vibrant green sod perfect for entertaining, barbecuing, or simply relaxing. additional highlights include a 2-car attached garage and ample outdoor recreation space and privacy. with its fantastic upgrades, peaceful location, and panoramic views, this home is a rare gem. dont miss your chance to call 14235 judy ann drive your new home!",0.6695809,"located in a desirable community on madison avenue in el cajon, this charming condo offers a fantastic opportunity for comfortable living. the complex provides residents with a variety of sought-after amenities, including a sparkling pool for warm summer days and full-service support for a truly low-maintenance lifestyle. just minutes from local parks, shopping, and dining, this location provides the perfect balance of suburban tranquility and convenient access to all the best that el cajon has to offer, including a quick commute to san diego's many attractions.",10.15336917,1,1
downtown loft with city views,"wake up to soft west-facing light filtering through oversized windows, illuminating exposed brick walls and original timber beams as the city slowly comes to life below. this top-floor live work loft at the historic molino lofts offers the authentic character only a converted 1920 s warehouse can deliver open, airy, and effortlessly cool. mornings begin with a walk to verve or blue bottle for coffee, afternoons flow seamlessly between work, creativity, and living in the expansive open-concept space, and evenings are made for entertaining under soaring ceilings as the sun sets behind peek-a-boo dtla skyline views. whether you're hosting friends, creating, or running a business, the flexible live work zoning allows the space to adapt to your lifestyle not the other way around. step outside and you're immersed in the heart of the arts district, surrounded by galleries, boutiques, and some of los angeles' most celebrated dining destinations, including bestia, bavel, and girl & the goat. this is a neighborhood defined by energy, culture, and walkability where every day feels inspired and connected. this isn't just a loft it's a way of living. historic, creative, and vibrant, molino lofts offers a rare opportunity to live where art, architecture, and city life converge. come experience what it feels like to call the arts district home. 3 d virtual tour: https: my. matterport. com show ?m=zh9 hzr4 tv43",0.5632895,"exceptional arts district loft in the historic barker block, exquisitely designed by noted interior design firm disc interiors. a dramatic wall of windows spans the far end of the residence, dressed in floor-to-ceiling drapery that adds warmth and texture, filling the space with an abundance of natural light and framing a coveted downtown skyline view. west-facing units with all wood ceilings and sunset exposures like this rarely come to market at barker block, making this residence an exceptional opportunity. this special home strikes a thoughtful balance of warmth and sophistication with hardwood floors throughout, nearly 11-foot ceilings with exposed beams, architectural lighting complemented by designer decorative fixtures, and custom built-in cabinetry providing ample storage at every turn for smart, elevated living. warm white walls and painted-out ducting give the loft a more cohesive and softened feel. the heart of the loft is a chef's kitchen outfitted with top-of-the-line, recently updated appliances seamlessly anchoring the open layout, ideal for both everyday life and entertaining. a spacious full bath includes in-unit laundry, while the generously sized bedroom features luxurious custom curtains that provide privacy and a thoughtful separation of space. the bedroom is complemented by a large wall of custom designed closets with antique brass hardware, and a built-in wall-to-wall oak dresser. a custom built-in 16' desk with a full wall of bookshelves thoughtfully separates the entry and dining areas, adding both function and architectural interest. the barker block is a full-service building offering 24 7 front desk and security, complimentary common-area wifi, an outdoor lounge with fire pits, and a resort-style rooftop with heated pool, spa, bbq areas, and a fitness center showcasing some of the best panoramic views in downtown los angeles. known for its striking architectural details and timeless industrial character, the live work designated barker block also offers a dynamic and sophisticated creative community spirit. located in the heart of the arts district, moments from bavel, girl and the goat, verve coffee, blue bottle coffee, as well as walking distance to still life ceramic studios, dover street market, bestia, soho warehouse, and art galleries such as hauser & wirth, this exceptional loft delivers a rare blend of architectural pedigree, thoughtful design, and a vibrant, walkable urban lifestyle.",10.90479291,1,1
family friendly neighborhood,"sought after neighborhood - single story 3 bedroom, 2 bathroom home with optimal layout. spacious backyard. close proximity to schools, shopping, dining, and transportation. ideal opportunity for buyers to customize a charming residence in a special location.",0.62085265,"welcome home to this beautiful, single level view home in the highly desirable la costa oaks north community of carlsbad. meticulously maintained and move in ready this home offers an open floor plan, expansive chefs kitchen and thoughtful entertaining space inside and out. enjoy the outdoor fire pit and panoramic hillside views. top rated schools and cul-de-sac living make this a kid and dog friendly community. neighborhood amenities include an olympic sized pool, a clubhouse, dog-friendly play group areas, hiking trails, and well maintained green space community wide. newer construction, paid solar and single level living make this a home you will stay in love with.",8.376716658,1,1
modern condo with amenities,"fantastic condo with town house floor plan with 2 story 4 bedrooms 2.5 bath home. open floor plan, large private patio area, attached garage & carport for your 2 cars and storage. new laminate flooring, baseboards, modern paint colors, new kitchen with quartz top kitchen, new recessed lighting. complete bathroom remolded. new central heating system. this property is like new. washer and dryer hookups located upstairs. complex includes refreshing pool. close to schools, shopping and freeway access. very affordable hoa dues! ready to move in.",0.6730896,"welcome home to this beautifully maintained 2-bedroom, 1.5-bath condo offering the perfect blend of comfort, style, and convenience. the kitchen features modern appliances, ample cabinet space, and a cozy breakfast areaideal for casual dining or entertaining. upstairs, youll find two spacious bedrooms with generous closets and a full bathroom featuring updated fixtures. located in a well-kept community with amenities such as a 2 pool, clubhouse, and reserved parking, this condo is just minutes from shopping, dining, parks, and major commuter routes. whether youre a first-time buyer, downsizing, or looking for a great investment opportunity, this home checks all the boxes!",9.648669979,1,1
house with large garage,"a great home with 4 bedrooms including a bedroom & bathroom downstairs & master bedroom with large bathroom, balcony with view of mountains, vaulted ceilings, spacious kitchen with lots of light plus adjacent family room & a large living room also with lots of light & vaulted ceilings, new carpeting thru out up stairs, whole home was recently painted thru out, walking trials close by & located on a cul-d-sac, 2 car attached garage with direct access.",0.5844751,"welcome to this charming craftsman style home with a guest house situated on a large lot with mature landscaping! offering original 1950 s charm throughout with the bonus of new siding, roof, gutters, new septic tank, and updated dual pane vinyl windows, this home is a rare find. the main house offers a cozy wood burning stove with tons of natural light, 2 bedrooms and a bathroom. the spacious kitchen features a farmhouse style sink, gas range, updated butcher block countertops, and a huge garden window overlooking the large backyard. a permitted guest house offers an additional bedroom with an attached bathroom, tankless water heater, and french doors that open onto the shared patio. additional features include a fully fenced yard, 1 car garage with a workbench, window coverings throughout, ceiling fans in all bedrooms. washer, dryer, and refrigerator are included in the sale.",9.485388988,1,0
condo near beach,"welcome to your new home with a view at the royal palms, located in the vibrant east village arts district of downtown long beach, just a short distance to the beach! this charming 2 bedroom, 1 bathroom condo is on the 9 th floor, offering stunning city views. the condo features 905 square feet of living space, perfect for comfortable urban living. the unit has been freshly painted and the living room showcases the spectacular view. the building offers 24-hour gated security for peace of mind, a conference room, a pool and bbq area and well-maintained common areas. there are convenient laundry facilities on site, and the community is very walkable, with dining, shopping and entertainment right outside your front door. this is an excellent opportunity to experience the best of long beach living! trust sale.",0.6363626,"welcome to this beautifully updated 2 bed 2 bathroom condo in imperial beach, a block from the sand! this ground-floor, ada-accessible unit offers both comfort and convenience, with two assigned parking spaces, including one located directly outside your door. step inside to find a bright, move-in-ready home featuring spacious bedrooms, modern finishes, and plenty of storage throughout. adjacent to the tijuana estuary and wildlife refuge, enjoy nature trails, birdwatching, and beach walks right at your doorstep. whether youre looking for a primary home, weekend getaway or rental property, this condo is a perfect blend of beach living and modern comfort.",8.713913459,1,1
home with large backyard,"great opportunity!! 3-bedroom, 2-bath single-family home offering 1356 square feet of living space on a 6020 square feet lot. this home features a cozy fireplace, a fully fenced yard, a large front lawn, and a spacious backyard with a concrete patio ideal for entertaining. no back neighbors. an attached two-car garage and low-maintenance landscaping complete the property. conveniently located within walking distance to an elementary school, shopping, and easy access to freeways north and south.",0.59734255,"stunning view home located within the exclusive gated community of the gallery collection. located next to beautiful scenic park, this is a premium lot with expansive views that include the san gabriel mountains and mt baldy. this home features a bright and open floorplan with beautiful marble flooring, and plantation shutters throughout the home. stunning living room entrance with professional painted murals, soaring cathedral ceiling and is attached to the stunning formal dining room. spacious kitchen features tons of cabinetry for storage, plenty of counter space, stainless steel appliances, kitchen island with gas cooktop and counter bar seating, double ovens and walk in pantry. large living room includes beautiful fireplace, built in entertainment center and beautiful views of the backyard. downstairs bedroom with attached full bath. upstairs showcases a large owners suite which includes mountain views, retreat with dual side fireplace, dual sink vanity with marble countertop, glass enclosed shower and separate tub. two additional bedrooms down the hall with their own en-suite bath. large bonus room with direct access to large balcony. this private backyard showcases stunning views with a beautiful patio area with retractable awning, bbq island with bar seating, multiple fountains, large outside living space with fireplace. this home also features a large 3 car garage with epoxy flooring with storage and stone flooring throughout house. this home is located adjacent to craig regional park, close to fullerton arboretum, coyote hills golf course, cal state fullerton university and brea mall. this home is one you won't want to miss!",8.101917592,1,1
apartment with balcony,"experience refined living in this beautifully maintained one-bedroom condo offering approximately 700 square feet of light-filled living space. the open, functional layout features a private balcony ideal for relaxing or entertaining. the spacious bedroom includes a walk-in closet for added comfort and storage. enjoy resort-style community amenities including a sparkling pool and spa, perfect for summer days. conveniently located near shopping, dining.",0.58964264,"rare opportunity to secure a property full of west newport history steps to world class surfing, lido house, lido village, cannery village, restaurants & shopping. purported to be the first home built on the street in 1945, this vintage cottage with guest apartment quarters has been lovingly enjoyed by the same family for numerous generations. the front cottage is a 2 bedroom, 2 bath configuration with a street fronting patio for entertaining. a second story 1 bedroom 1 bath guest apartment or rental unit is situated upstairs. additionally, there are multiple parking spots in the back. please drive by first and call agent for appointment to view. this is a trust sale, property to be sold ""as is"" current condition with no warranties expressed or implied. value is in the land, this is a major fixer or tear down. no short term rental permit is currently in place.",10.7462254,1,0
house with fireplace,"check out this great home with 4 bedrooms and 2 bathrooms. the living room features a cozy fireplace, and the interior has been recently updated with fresh paint, new cabinets, new lighting, and new flooring throughout, indoor laundry area. enjoy a fenced backyard, perfect for relaxing or entertaining, plus a 2-car garage. a must-see!",0.61281276,"duplex! enjoy stunning mountain views and endless possibilities with this spacious duplex situated on just under 3 4 of an acre. perfect for multi-family living, investment, or airbnb use; this property offers two separate homes and easy access to highway 138 for a quick commute topalmdale, los angeles, or san bernardino. the main house is approximately 2000 sq. ft. and features 3 bedrooms with 2 full bathrooms, including arenovated master suite. the upgraded kitchen boasts a tile backsplash, upgraded counter tops, recessed lighting, bar seating and beautiful wood-tileflooring. a cozy breakfast nook provides extra space for dining or lounging, while the spacious living room with a brick fireplace offers the perfect cozygathering place. step out to the enclosed patio leading to the large backyard, ideal for entertaining or relaxing outdoors. the back house is about 1000 sq. ft. and includes its own driveway and 1-car garage for added convenience and privacy. inside, you'll find new vinyl plank flooring, indoor laundry, a renovatedbathroom with a new vanity and reglazed stand-up shower and an open kitchen-to-living-room layout with potential bar seating. with its size, layout, andlocation less than 30 minutes from mountain high ski resort, this property is a rare find offering comfort, flexibility, and income potential--all with incrediblemountain views! don't miss out!",7.91520636,1,1
condo with low HOA fees,"fantastic condo with town house floor plan with 2 story 4 bedrooms 2.5 bath home. open floor plan, large private patio area, attached garage & carport for your 2 cars and storage. new laminate flooring, baseboards, modern paint colors, new kitchen with quartz top kitchen, new recessed lighting. complete bathroom remolded. new central heating system. this property is like new. washer and dryer hookups located upstairs. complex includes refreshing pool. close to schools, shopping and freeway access. very affordable hoa dues! ready to move in.",0.57144016,"best value in 91331 for the size! this spacious 1430 sq. ft., 2-story townhome has 3 bedrooms, 2.5 bathrooms, and excellent access to the 210 and 5 freeway; this home is ideal for commuters and families alike. step inside to a large living room that flows into an open kitchen and dining area. the kitchen features granite countertops, a double sink, and abundant cabinet storage, plus an adjacent dining area and convenient in-unit laundry closet. upstairs, the primary suite boasts a private bathroom with tub shower, a walk-in closet, and plenty of natural light. the two additional large bedrooms feature generous closet space and share a full bathroom, while a guest half-bath is located downstairs for convenience. additional highlights include: two parking spaces in a secure garage, a large private storage closet, & low hoa fees within a well-maintained 24 unit community. take advantage of lower interest rates & stop rentingwith some touch-ups this home is ready for its new owner! will work with cal hfa buyers, contact listing agent.",12.75990878,1,1
home with guest house,"welcome to this charming craftsman style home with a guest house situated on a large lot with mature landscaping! offering original 1950 s charm throughout with the bonus of new siding, roof, gutters, new septic tank, and updated dual pane vinyl windows, this home is a rare find. the main house offers a cozy wood burning stove with tons of natural light, 2 bedrooms and a bathroom. the spacious kitchen features a farmhouse style sink, gas range, updated butcher block countertops, and a huge garden window overlooking the large backyard. a permitted guest house offers an additional bedroom with an attached bathroom, tankless water heater, and french doors that open onto the shared patio. additional features include a fully fenced yard, 1 car garage with a workbench, window coverings throughout, ceiling fans in all bedrooms. washer, dryer, and refrigerator are included in the sale.",0.59289247,"~private oasis~situated on double lot with 2 structures~main house & guest house ~fully remodeled desert retreat near la quinta resort~this beautifully renovated main home offers three -bedroom, two-bath home sits on a rare double lot, offering privacy, with a completely fenced in front & rear yard~space and room to entertain~this property features a sparkling pool, expansive outdoor space, rv access, and a separate guest house-perfect for visitors or multi-generational living~ inside every detail has been thoughtfully updated~the open concept kitchen boasts new appliances, quartz countertops, and custom white cabinetry, while both bathrooms have been completely redesigned with modern finishes~the spacious living areas flow seamlessly, creating a bright and inviting atmosphere.~enjoy the enclosed front yard for added privacy and curb appeal, relax by the pool and spa or host family and friends in the guest house. with world-class dining, golf and amenities just minutes away, this home is the perfect desert getaway! guest house is completely separate from main house!!!",12.80684493,1,1
condo with rooftop access,"view! view! view! rare opportunity to own the luxury corner unit condo with an oversized terrace. spectacular bay and bridge views from the living room, terrace, and master bedroom. open floor plans with lots of natural light. high ceiling, open concept floor plan. comprehensive amenities on your doorstep include an indoor gym, outdoor pool, spa, lobby attendants, and concierge services. short distance to the famous waterfront street, embarcadero, oracle park, chase center, mission bay, square feet ferry building, salesforce tower, and many high-tech companies. easy access to freeway 80, 101, and 280. virtual staging photos. make it your dream home today",0.56221926,"fully furnished condo, ready move in. north park condo with private covered balcony + secure parking + rooftop deck, move-in-ready 1 bed 1 bath condo featuring a spacious, well-designed layout and an open living area perfect for relaxing or entertaining. step through sliding doors to your private covered balconyideal for morning coffee, fresh air, and sunset vibes. the bedroom includes a large walk-in closet, offering tons of storage and flexibilitythink dressing area, extra organization, or even a compact work-from-home nook. enjoy unbeatable walkability to north parks best dining, cafes, shops, and nightlife, plus a rooftop deck for lounging and gathering. includes 1 secure underground parking space",12.12722873,0,1
house with finished basement,"a great home with 4 bedrooms including a bedroom & bathroom downstairs & master bedroom with large bathroom, balcony with view of mountains, vaulted ceilings, spacious kitchen with lots of light plus adjacent family room & a large living room also with lots of light & vaulted ceilings, new carpeting thru out up stairs, whole home was recently painted thru out, walking trials close by & located on a cul-d-sac, 2 car attached garage with direct access.",0.513605,"step into this light-filled 3-bedroom, 2-bath home offering 1513 square feet of comfortable living space, plus an expansive unfinished basement ready for your vision. the open layout flows seamlessly from the spacious living & dining area into an inviting, open kitchen, creating an ideal setting for everyday living and entertaining. the unfinished basement provides incredible potential to add a 4 th bedroom and 3 rd bath, create a separate unit for multi-generational living, or design the bonus space of your dreams. features an attached garage, driveway for off street parking. 6250 square foot lot with plenty of room for outdoor enjoyment, gardening or future improvements. walk to park, eateries and john swett school district. open house sunday 2:00 pm - 4:30 pm",12.13076789,0,0
condo in gated community,"2 nd story condo with new paint, new carpet. it's located adjacent to the pool and mailbox areas. one car garage + one reserved parking spot. the gated community does have guest parking as well.",0.66187465,"welcome to this charming second-level end-unit condo offering privacy, comfort, and convenience near uc riverside. this bright and inviting home features an open-concept layout with abundant natural light throughout, creating a warm and airy atmosphere. the living area flows seamlessly into the dining and kitchen spaces, perfect for both relaxing and entertaining. enjoy the blend of laminate flooring in main areas and brand-new carpet in the bedrooms, adding a fresh and modern touch. with only one shared wall, this unit provides extra peace and quiet. additional features and amenities included community pool, 2 parking space, one covered and open space. this gated community condo is located just minutes from uc riverside, shopping, dining, and freeway access, this home is ideal for students, professionals, or anyone seeking low-maintenance living in a prime location.",9.891038824,1,1
home with solar panels,"nestled in the heart of hesperia, this spacious 2241 sq. ft. home offers comfort, functionality, and upgrades throughout. featuring 3 bedrooms and 2 bathrooms, the home boasts a newly remodeled kitchen and beautifully updated bathrooms. wood flooring throughout, complemented by classic window shutters that add both style and privacy. a versatile bonus room or office space with a charming barn-style door provides the perfect area for work, hobbies, or additional living space. the fully fenced property offers a backyard designed for enjoyment and utility, complete with two storage sheds, a horseshoe pit, and a designated dog run. the extra-long garage provides ample space for a workshop, boat storage, or additional storage needs, and includes a washer and dryer area with a brand-new utility sink and abundant built-in storage. solar panels help keep electricity costs affordable, making this home both practical and energy efficient. this well-maintained property offers space, upgrades, and versatilityperfect for comfortable everyday living and entertaining. you wont want to miss out on the chance to make this house your home.",0.6388815,"beautifully!! renovated with high-quality materials and excellent taste. this home offers everything a family needs-spacious rooms ,comfort, and a big backyard. it's located close to shopping centers, schools, just a few miles of communities colleges, near public transportation. the home also features solar panels (lease) come see this beatiful home!! you'll be pleasantly surprised!!",12.78918566,1,1
condo with in-unit laundry,"contemporary 1 bd 1 bathroom + loft, 812 square feet of living space two-story condo in sandhill condominiums. rare layout with 20' vaulted ceilings, fireplace, private balcony, and wood-inspired vinyl plank flooring with padded insulation. kitchen features gas range, strong hood, generous cabinetry, brand-new stainless dishwasher & refrigerator. spacious loft ideal for office or bonus room. large primary bedroom with walk-in closet. in-unit washer dryer, nest thermostat, led lighting throughout. includes 2 parking spaces + large private garage storage room. community pool & spa. walk to shops & dining. 15 miles to ucla, 5 miles to csun. hoa pays water, hot water and trash.",0.5681739,"fha lending approved park meadow community downey beautiful 2 bedroom | 2 bathroom condo offering a combined living dining area, kitchen, private patio, two parking spaces and in-unit laundry hookups. both bedrooms are upstairs, including a primary suite with a walk-in closet. community amenities: pool spa and well-maintained grounds. conveniently located near shopping, golf courses, schools, parks, and major freeways. a great opportunity to own in a desirable downey neighborhood. dont want to miss this one!",11.22283084,1,1
house with large windows,"great custom home totally rebuilt in 2003 with double car garage added in 2006. total of 10 permits were completed. outside very impressive retaining wall was installed, and front yard was paved with concrete, adorned by decorative stones. house has open floor plan, vaulted ceilings, numerous windows, two large skylights bringing a lot of light inside. there are three good size bedrooms, including master with sliding doors leading to covered porch and side yard. another sliding door connects huge living room with large space with its own bathroom and private deck leading to the back yard. there is one more room on lower level' which can be used as additional bedroom or office. next to it laundry area is located. wood stove was removed from the living room because it was not epa certified and owner will give a credit for the buyer to replace it with the stove of their choice.",0.47487795,"welcome home to a beautiful one-story house, 4 bedrooms, 2 baths in the well-established & desirable neighborhood of nuevo ranch. this property has a 3-car garage with extra wide driveway and plenty of parking spaces. inside, the flowing floor plan includes a formal living room and dining room with lots of natural light from large windows. the high ceilings create an open and spacious feel. adjacent to the living room is an office, which can also be used as a guest room. the center of the house is the kitchen, which connects to the family room. the kitchen has wood cabinetry with ample storage space, a walk-in pantry, and a center island with breakfast bar seating. the family room has a gas fireplace and is cozy for family time. there are two large bedrooms with the hallway leading to an indoor laundry room and a second bathroom with double sinks. the master bedroom has a walk-in closet, a sliding door to the backyard, a bathroom with double sinks, and a toilet room with door for privacy. the house also has central air and gas heating. this beautiful house has been maintained by non-smoking, original owners. the low maintenance backyard with a fully covered built-in patio that spans the entire length of the home is great for friends and family gatherings. there is a gas hookup for your grill. this backyard has several mature fruit trees for your own picking! all windows are energy efficient, double-paned. low hoa. with easy access to 215 and 74, this home is also conveniently located near schools, shopping, metrolink rail service, hiking trails, horse amenities, lake perris, old town temecula, pechanga casino and more. only about 60 miles to the beach! this move-in-ready home offers the perfect balance of space, comfort, energy efficiency and opportunities in a wonderful neighborhood setting.",8.725506992,1,1
